Charades_v1_480,Q18ZQ.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,WZDXS.mp4, 270x480 [SAR 406:405 DAR 203:360], 16.66 fps, 44100 Hz
Charades_v1_480,R5O7F.mp4, 480x320 [SAR 1:1 DAR 3:2], 28.72 fps, 44100 Hz
Charades_v1_480,DMKRS.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,R9F8L.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,HJM37.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,6MH42.mp4, 480x360 [SAR 1:1 DAR 4:3], 15 fps, 44100 Hz
Charades_v1_480,OA6XR.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,3Q6N1.mp4, 480x270 [SAR 1:1 DAR 16:9], 15 fps, 44100 Hz
Charades_v1_480,P9D7P.mp4, 480x270 [SAR 1:1 DAR 16:9], 16.64 fps, 44100 Hz
Charades_v1_480,CH0PM.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,9YNN1.mp4, 320x480 [SAR 1:1 DAR 2:3], 30 fps, 44100 Hz
Charades_v1_480,8G9A9.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,1VUDV.mp4, 480x270 [SAR 1:1 DAR 16:9], 24 fps, 44100 Hz
Charades_v1_480,Q96A8.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,EYQ6U.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,CN43X.mp4, 480x268 [SAR 268:267 DAR 160:89], 30 fps, 44100 Hz
Charades_v1_480,1UPHI.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,XSS0J.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,48IQL.mp4, 480x360 [SAR 1:1 DAR 4:3], 15.01 fps, 44100 Hz
Charades_v1_480,L4DUU.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.89 fps, 44100 Hz
Charades_v1_480,QUGSS.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,HI81L.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,GKBX9.mp4, 480x270 [SAR 1:1 DAR 16:9], 24 fps, 44100 Hz
Charades_v1_480,BT8WU.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.86 fps, 44100 Hz
Charades_v1_480,N99GA.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,6XGUE.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.95 fps, 44100 Hz
Charades_v1_480,J6P6H.mp4, 480x266 [SAR 3148:3147 DAR 251840:139517], 30 fps, 44100 Hz
Charades_v1_480,I4OFW.mp4, 480x270 [SAR 639:640 DAR 71:40], 24 fps, 44100 Hz
Charades_v1_480,SUJWY.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,CW645.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.79 fps, 44100 Hz
Charades_v1_480,NXC5X.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,BCO3C.mp4, 480x268 [SAR 268:267 DAR 160:89], 29.68 fps, 44100 Hz
Charades_v1_480,2LCLG.mp4, 480x360 [SAR 1:1 DAR 4:3], 30 fps, 44100 Hz
Charades_v1_480,ZM3X3.mp4, 480x360, 24 fps, 48000 Hz
Charades_v1_480,X9M5B.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,GI61S.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 30 fps, 44100 Hz
Charades_v1_480,8Z4UY.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,IV1U5.mp4, 480x360 [SAR 1:1 DAR 4:3], 10 fps, 44100 Hz
